_id,quarter,industry1,industry2,industry3,employment_change
1001,2001-Q2,services,financial services,insurance,0.3
1002,2001-Q2,services,business and real estate services,business and real estate services,4.1
1003,2001-Q2,services,"community, social and personal services",public administration and education,0.7
1004,2001-Q2,services,"community, social and personal services",education,1.7
1005,2001-Q2,services,"community, social and personal services",public administration,-1
1006,2001-Q2,services,"community, social and personal services",health and social work,0.1
1007,2001-Q2,services,"community, social and personal services","other community, social and personal services",1.7
1008,2001-Q2,others,others,others,0.1
1009,2001-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.2
1010,2001-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,0.1
1011,2001-Q3,manufacturing,paper products and publishing,paper products and printing,-1.3
1012,2001-Q3,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.9
1013,2001-Q3,manufacturing,fabricated metal products,fabricated metal products,-0.7
1014,2001-Q3,manufacturing,machinery and equipment,machinery and equipment,-2.6
1015,2001-Q3,manufacturing,electrical products,electrical products,-0.5
1016,2001-Q3,manufacturing,electronic products,electronic products,-4.8
1017,2001-Q3,manufacturing,medical and precision instruments,medical and precision instruments,-0.3
1018,2001-Q3,manufacturing,transport equipment,transport equipment,6.1
1019,2001-Q3,manufacturing,other manufacturing industries,other manufacturing industries,-0.9
1020,2001-Q3,construction,construction,construction,-4.9
1021,2001-Q3,services,wholesale and retail trade,wholesale trade,-0.7
1022,2001-Q3,services,wholesale and retail trade,retail trade,-2.4
1023,2001-Q3,services,"transport, storage and communications","transport, storage and communications",-0.6
1024,2001-Q3,services,financial services,financial institutions,-1
1025,2001-Q3,services,financial services,insurance,-
1026,2001-Q3,services,business and real estate services,business and real estate services,-0.4
1027,2001-Q3,services,"community, social and personal services",public administration and education,1.6
1028,2001-Q3,services,"community, social and personal services",education,1
1029,2001-Q3,services,"community, social and personal services",public administration,0.6
1030,2001-Q3,services,"community, social and personal services",health and social work,0.5
1031,2001-Q3,services,"community, social and personal services","other community, social and personal services",0.9
1032,2001-Q3,others,others,others,-
1033,2001-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.3
1034,2001-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,-0.8
1035,2001-Q4,manufacturing,paper products and publishing,paper products and printing,-0.3
1036,2001-Q4,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",-1
1037,2001-Q4,manufacturing,fabricated metal products,fabricated metal products,-0.7
1038,2001-Q4,manufacturing,machinery and equipment,machinery and equipment,-1
1039,2001-Q4,manufacturing,electrical products,electrical products,-0.3
1040,2001-Q4,manufacturing,electronic products,electronic products,-6.3
1041,2001-Q4,manufacturing,medical and precision instruments,medical and precision instruments,-0.2
1042,2001-Q4,manufacturing,transport equipment,transport equipment,6.2
1043,2001-Q4,manufacturing,other manufacturing industries,other manufacturing industries,-1.2
1044,2001-Q4,construction,construction,construction,-9.4
1045,2001-Q4,services,wholesale and retail trade,wholesale trade,-0.8
1046,2001-Q4,services,wholesale and retail trade,retail trade,0.3
1047,2001-Q4,services,"transport, storage and communications","transport, storage and communications",-
1048,2001-Q4,services,financial services,financial institutions,-1.7
1049,2001-Q4,services,financial services,insurance,0.4
1050,2001-Q4,services,business and real estate services,business and real estate services,-1.1
1051,2001-Q4,services,"community, social and personal services",public administration and education,0.8
1052,2001-Q4,services,"community, social and personal services",education,2.4
1053,2001-Q4,services,"community, social and personal services",public administration,-1.6
1054,2001-Q4,services,"community, social and personal services",health and social work,0.8
1055,2001-Q4,services,"community, social and personal services","other community, social and personal services",0.4
1056,2001-Q4,others,others,others,-0.1
1057,2002-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.1
1058,2002-Q1,manufacturing,textile and wearing apparel,paper products and printing,0.1
1059,2002-Q1,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",0.2
1060,2002-Q1,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,-0.4
1061,2002-Q1,manufacturing,fabricated metal products,fabricated metal products,-0.1
1062,2002-Q1,manufacturing,machinery and equipment,machinery and equipment,-0.3
1063,2002-Q1,manufacturing,electrical products,electrical products,-0.3
1064,2002-Q1,manufacturing,electronic products,electronic products,-2.7
1065,2002-Q1,manufacturing,medical and precision instruments,medical and precision instruments,0.3
1066,2002-Q1,manufacturing,transport equipment,transport equipment,3.3
1067,2002-Q1,manufacturing,other manufacturing industries,other manufacturing industries,-1.3
1068,2002-Q1,construction,construction,construction,-9.8
1069,2002-Q1,services,wholesale and retail trade,wholesale trade,-0.7
1070,2002-Q1,services,wholesale and retail trade,retail trade,-0.2
1071,2002-Q1,services,transport and storage,land transport and supporting services,1.2
1072,2002-Q1,services,transport and storage,water transport and supporting services,-0.4
1073,2002-Q1,services,transport and storage,air transport and supporting services,-0.5
1074,2002-Q1,services,transport and storage,other transport and storage services,-0.1
1075,2002-Q1,services,hotels and restaurants,hotels,-2.1
1076,2002-Q1,services,hotels and restaurants,restaurants,0.3
1077,2002-Q1,services,information and communications,broadcasting and publishing,-0.3
1078,2002-Q1,services,information and communications,telecommunications,-0.5
1079,2002-Q1,services,information and communications,it and other information services,-0.6
1080,2002-Q1,services,financial services,financial institutions,-1.8
1081,2002-Q1,services,financial services,insurance,0.2
1082,2002-Q1,services,real estate and leasing services,real estate and leasing services,-
1083,2002-Q1,services,professional services,"legal, accounting and management services",-1.2
1084,2002-Q1,services,professional services,architectural and engineering services,-0.5
1085,2002-Q1,services,professional services,other professional services,-0.3
1086,2002-Q1,services,"community, social and personal services",public administration and education,2.2
1087,2002-Q1,services,"community, social and personal services",education,1.8
1088,2002-Q1,services,"community, social and personal services",public administration,0.4
1089,2002-Q1,services,"community, social and personal services",health and social services,1
1090,2002-Q1,services,"community, social and personal services","other community, social and personal services",3.6
1091,2002-Q1,others,others,others,-
1092,2002-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.2
1093,2002-Q2,manufacturing,textile and wearing apparel,paper products and printing,-0.1
1094,2002-Q2,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",0.4
1095,2002-Q2,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,-
1096,2002-Q2,manufacturing,fabricated metal products,fabricated metal products,-0.5
1097,2002-Q2,manufacturing,machinery and equipment,machinery and equipment,0.3
1098,2002-Q2,manufacturing,electrical products,electrical products,-0.3
1099,2002-Q2,manufacturing,electronic products,electronic products,-0.4
1100,2002-Q2,manufacturing,medical and precision instruments,medical and precision instruments,-
1101,2002-Q2,manufacturing,transport equipment,transport equipment,1.9
1102,2002-Q2,manufacturing,other manufacturing industries,other manufacturing industries,-0.6
1103,2002-Q2,construction,construction,construction,-8.4
1104,2002-Q2,services,wholesale and retail trade,wholesale trade,0.2
1105,2002-Q2,services,wholesale and retail trade,retail trade,-0.5
1106,2002-Q2,services,transport and storage,land transport and supporting services,0.6
1107,2002-Q2,services,transport and storage,water transport and supporting services,0.3
1108,2002-Q2,services,transport and storage,air transport and supporting services,-
1109,2002-Q2,services,transport and storage,other transport and storage services,0.1
1110,2002-Q2,services,hotels and restaurants,hotels,-0.4
1111,2002-Q2,services,hotels and restaurants,restaurants,0.4
1112,2002-Q2,services,information and communications,broadcasting and publishing,-0.2
1113,2002-Q2,services,information and communications,telecommunications,-0.4
1114,2002-Q2,services,information and communications,it and other information services,0.3
1115,2002-Q2,services,financial services,financial institutions,-0.5
1116,2002-Q2,services,financial services,insurance,0.4
1117,2002-Q2,services,real estate and leasing services,real estate and leasing services,-0.2
1118,2002-Q2,services,professional services,"legal, accounting and management services",-0.4
1119,2002-Q2,services,professional services,architectural and engineering services,-0.2
1120,2002-Q2,services,professional services,other professional services,0.1
1121,2002-Q2,services,"community, social and personal services",public administration and education,-
1122,2002-Q2,services,"community, social and personal services",education,-0.2
1123,2002-Q2,services,"community, social and personal services",public administration,0.2
1124,2002-Q2,services,"community, social and personal services",health and social services,0.3
1125,2002-Q2,services,"community, social and personal services","other community, social and personal services",1.9
1126,2002-Q2,others,others,others,0.3
1127,2002-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.5
1128,2002-Q3,manufacturing,textile and wearing apparel,paper products and printing,-
1129,2002-Q3,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",-
1130,2002-Q3,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,-0.5
1131,2002-Q3,manufacturing,fabricated metal products,fabricated metal products,-0.1
1132,2002-Q3,manufacturing,machinery and equipment,machinery and equipment,0.3
1133,2002-Q3,manufacturing,electrical products,electrical products,-0.2
1134,2002-Q3,manufacturing,electronic products,electronic products,-0.6
1135,2002-Q3,manufacturing,medical and precision instruments,medical and precision instruments,0.1
1136,2002-Q3,manufacturing,transport equipment,transport equipment,0.1
1137,2002-Q3,manufacturing,other manufacturing industries,other manufacturing industries,-1
1138,2002-Q3,construction,construction,construction,-7.8
1139,2002-Q3,services,wholesale and retail trade,wholesale trade,-0.5
1140,2002-Q3,services,wholesale and retail trade,retail trade,-1.1
1141,2002-Q3,services,transport and storage,land transport and supporting services,0.9
1142,2002-Q3,services,transport and storage,water transport and supporting services,0.2
1143,2002-Q3,services,transport and storage,air transport and supporting services,0.6
1144,2002-Q3,services,transport and storage,other transport and storage services,0.2
1145,2002-Q3,services,hotels and restaurants,hotels,-0.5
1146,2002-Q3,services,hotels and restaurants,restaurants,0.1
1147,2002-Q3,services,information and communications,broadcasting and publishing,-0.1
1148,2002-Q3,services,information and communications,telecommunications,-0.7
1149,2002-Q3,services,information and communications,it and other information services,-0.2
1150,2002-Q3,services,financial services,financial institutions,-0.5
1151,2002-Q3,services,financial services,insurance,0.2
1152,2002-Q3,services,real estate and leasing services,real estate and leasing services,-0.4
1153,2002-Q3,services,professional services,"legal, accounting and management services",0.3
1154,2002-Q3,services,professional services,architectural and engineering services,0.4
1155,2002-Q3,services,professional services,other professional services,-0.2
1156,2002-Q3,services,"community, social and personal services",public administration and education,-0.3
1157,2002-Q3,services,"community, social and personal services",education,0.4
1158,2002-Q3,services,"community, social and personal services",public administration,-0.7
1159,2002-Q3,services,"community, social and personal services",health and social services,0.2
1160,2002-Q3,services,"community, social and personal services","other community, social and personal services",1.6
1161,2002-Q3,others,others,others,-
1162,2002-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.4
1163,2002-Q4,manufacturing,textile and wearing apparel,paper products and printing,-0.6
1164,2002-Q4,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",0.2
1165,2002-Q4,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,-0.1
1166,2002-Q4,manufacturing,fabricated metal products,fabricated metal products,-0.3
1167,2002-Q4,manufacturing,machinery and equipment,machinery and equipment,-0.4
1168,2002-Q4,manufacturing,electrical products,electrical products,-0.3
1169,2002-Q4,manufacturing,electronic products,electronic products,-1.4
1170,2002-Q4,manufacturing,medical and precision instruments,medical and precision instruments,-0.1
1171,2002-Q4,manufacturing,transport equipment,transport equipment,-0.9
1172,2002-Q4,manufacturing,other manufacturing industries,other manufacturing industries,-0.1
1173,2002-Q4,construction,construction,construction,-8.3
1174,2002-Q4,services,wholesale and retail trade,wholesale trade,0.6
1175,2002-Q4,services,wholesale and retail trade,retail trade,2.2
1176,2002-Q4,services,transport and storage,land transport and supporting services,0.1
1177,2002-Q4,services,transport and storage,water transport and supporting services,-
1178,2002-Q4,services,transport and storage,air transport and supporting services,0.1
1179,2002-Q4,services,transport and storage,other transport and storage services,0.2
1180,2002-Q4,services,hotels and restaurants,hotels,1.9
1181,2002-Q4,services,hotels and restaurants,restaurants,3.6
1182,2002-Q4,services,information and communications,broadcasting and publishing,-0.3
1183,2002-Q4,services,information and communications,telecommunications,1.5
1184,2002-Q4,services,information and communications,it and other information services,-0.5
1185,2002-Q4,services,financial services,financial institutions,-0.2
1186,2002-Q4,services,financial services,insurance,0.1
1187,2002-Q4,services,real estate and leasing services,real estate and leasing services,1.1
1188,2002-Q4,services,professional services,"legal, accounting and management services",0.2
1189,2002-Q4,services,professional services,architectural and engineering services,-1.6
1190,2002-Q4,services,professional services,other professional services,-0.2
1191,2002-Q4,services,"community, social and personal services",public administration and education,2.2
1192,2002-Q4,services,"community, social and personal services",education,-0.7
1193,2002-Q4,services,"community, social and personal services",public administration,3
1194,2002-Q4,services,"community, social and personal services",health and social services,0.5
1195,2002-Q4,services,"community, social and personal services","other community, social and personal services",-1
1196,2002-Q4,others,others,others,0.1
1197,2003-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.2
1198,2003-Q1,manufacturing,textile and wearing apparel,paper products and printing,-0.3
1199,2003-Q1,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",1.1
1200,2003-Q1,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,0.4
1201,2003-Q1,manufacturing,fabricated metal products,fabricated metal products,-
1202,2003-Q1,manufacturing,machinery and equipment,machinery and equipment,0.1
1203,2003-Q1,manufacturing,electrical products,electrical products,-0.2
1204,2003-Q1,manufacturing,electronic products,electronic products,-2.1
1205,2003-Q1,manufacturing,medical and precision instruments,medical and precision instruments,0.1
1206,2003-Q1,manufacturing,transport equipment,transport equipment,-1.9
1207,2003-Q1,manufacturing,other manufacturing industries,other manufacturing industries,-
1208,2003-Q1,construction,construction,construction,-6.5
1209,2003-Q1,services,wholesale and retail trade,wholesale trade,-0.3
1210,2003-Q1,services,wholesale and retail trade,retail trade,-0.3
1211,2003-Q1,services,transport and storage,land transport and supporting services,-0.8
1212,2003-Q1,services,transport and storage,water transport and supporting services,0.4
1213,2003-Q1,services,transport and storage,air transport and supporting services,0.5
1214,2003-Q1,services,transport and storage,other transport and storage services,0.7
1215,2003-Q1,services,hotels and restaurants,hotels,-1.6
1216,2003-Q1,services,hotels and restaurants,restaurants,0.2
1217,2003-Q1,services,information and communications,broadcasting and publishing,-0.1
1218,2003-Q1,services,information and communications,telecommunications,-0.3
1219,2003-Q1,services,information and communications,it and other information services,-0.4
1220,2003-Q1,services,financial services,financial institutions,0.8
1221,2003-Q1,services,financial services,insurance,0.1
1222,2003-Q1,services,real estate and leasing services,real estate and leasing services,0.2
1223,2003-Q1,services,professional services,"legal, accounting and management services",-
1224,2003-Q1,services,professional services,architectural and engineering services,-0.2
1225,2003-Q1,services,professional services,other professional services,-0.2
1226,2003-Q1,services,"community, social and personal services",public administration and education,1.9
1227,2003-Q1,services,"community, social and personal services",education,2.7
1228,2003-Q1,services,"community, social and personal services",public administration,-0.8
1229,2003-Q1,services,"community, social and personal services",health and social services,0.6
1230,2003-Q1,services,"community, social and personal services","other community, social and personal services",3
1231,2003-Q1,others,others,others,-0.2
1232,2003-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.2
1233,2003-Q2,manufacturing,textile and wearing apparel,paper products and printing,-0.9
1234,2003-Q2,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",0.8
1235,2003-Q2,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,0.1
1236,2003-Q2,manufacturing,fabricated metal products,fabricated metal products,-0.3
1237,2003-Q2,manufacturing,machinery and equipment,machinery and equipment,-0.1
1238,2003-Q2,manufacturing,electrical products,electrical products,-0.1
1239,2003-Q2,manufacturing,electronic products,electronic products,-1.9
1240,2003-Q2,manufacturing,medical and precision instruments,medical and precision instruments,-
1241,2003-Q2,manufacturing,transport equipment,transport equipment,-3.3
1242,2003-Q2,manufacturing,other manufacturing industries,other manufacturing industries,-0.7
1243,2003-Q2,construction,construction,construction,-7.1
1244,2003-Q2,services,wholesale and retail trade,wholesale trade,-2
1245,2003-Q2,services,wholesale and retail trade,retail trade,-1.9
1246,2003-Q2,services,transport and storage,land transport and supporting services,-0.5
1247,2003-Q2,services,transport and storage,water transport and supporting services,-0.3
1248,2003-Q2,services,transport and storage,air transport and supporting services,-0.9
1249,2003-Q2,services,transport and storage,other transport and storage services,0.1
1250,2003-Q2,services,hotels and restaurants,hotels,-3.8
1251,2003-Q2,services,hotels and restaurants,restaurants,-2
1252,2003-Q2,services,information and communications,broadcasting and publishing,-0.3
1253,2003-Q2,services,information and communications,telecommunications,-
1254,2003-Q2,services,information and communications,it and other information services,-0.1
1255,2003-Q2,services,financial services,financial institutions,0.4
1256,2003-Q2,services,financial services,insurance,0.2
1257,2003-Q2,services,real estate and leasing services,real estate and leasing services,-0.2
1258,2003-Q2,services,professional services,"legal, accounting and management services",0.2
1259,2003-Q2,services,professional services,architectural and engineering services,-0.5
1260,2003-Q2,services,professional services,other professional services,0.4
1261,2003-Q2,services,"community, social and personal services",public administration and education,-0.1
1262,2003-Q2,services,"community, social and personal services",education,-0.3
1263,2003-Q2,services,"community, social and personal services",public administration,0.2
1264,2003-Q2,services,"community, social and personal services",health and social services,0.4
1265,2003-Q2,services,"community, social and personal services","other community, social and personal services",-2.1
1266,2003-Q2,others,others,others,-0.2
1267,2003-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.1
1268,2003-Q3,manufacturing,textile and wearing apparel,paper products and printing,-0.3
1269,2003-Q3,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",0.8
1270,2003-Q3,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,0.3
1271,2003-Q3,manufacturing,fabricated metal products,fabricated metal products,-
1272,2003-Q3,manufacturing,machinery and equipment,machinery and equipment,-0.1
1273,2003-Q3,manufacturing,electrical products,electrical products,-0.1
1274,2003-Q3,manufacturing,electronic products,electronic products,-0.2
1275,2003-Q3,manufacturing,medical and precision instruments,medical and precision instruments,-
1276,2003-Q3,manufacturing,transport equipment,transport equipment,-0.4
1277,2003-Q3,manufacturing,other manufacturing industries,other manufacturing industries,-0.2
1278,2003-Q3,construction,construction,construction,-1.9
1279,2003-Q3,services,wholesale and retail trade,wholesale trade,-1.1
1280,2003-Q3,services,wholesale and retail trade,retail trade,-0.9
1281,2003-Q3,services,transport and storage,land transport and supporting services,-0.6
1282,2003-Q3,services,transport and storage,water transport and supporting services,0.8
1283,2003-Q3,services,transport and storage,air transport and supporting services,-0.8
1284,2003-Q3,services,transport and storage,other transport and storage services,-0.3
1285,2003-Q3,services,hotels and restaurants,hotels,1.9
1286,2003-Q3,services,hotels and restaurants,restaurants,2.2
1287,2003-Q3,services,information and communications,broadcasting and publishing,0.1
1288,2003-Q3,services,information and communications,telecommunications,-
1289,2003-Q3,services,information and communications,it and other information services,0.6
1290,2003-Q3,services,financial services,financial institutions,-0.2
1291,2003-Q3,services,financial services,insurance,0.1
1292,2003-Q3,services,real estate and leasing services,real estate and leasing services,-1.2
1293,2003-Q3,services,professional services,"legal, accounting and management services",0.2
1294,2003-Q3,services,professional services,architectural and engineering services,-0.1
1295,2003-Q3,services,professional services,other professional services,0.1
1296,2003-Q3,services,"community, social and personal services",public administration and education,-0.1
1297,2003-Q3,services,"community, social and personal services",education,0.6
1298,2003-Q3,services,"community, social and personal services",public administration,-0.8
1299,2003-Q3,services,"community, social and personal services",health and social services,0.7
1300,2003-Q3,services,"community, social and personal services","other community, social and personal services",0.7
1301,2003-Q3,others,others,others,-0.4
1302,2003-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.1
1303,2003-Q4,manufacturing,textile and wearing apparel,paper products and printing,1.1
1304,2003-Q4,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",1.4
1305,2003-Q4,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,0.1
1306,2003-Q4,manufacturing,fabricated metal products,fabricated metal products,0.3
1307,2003-Q4,manufacturing,machinery and equipment,machinery and equipment,0.8
1308,2003-Q4,manufacturing,electrical products,electrical products,-
1309,2003-Q4,manufacturing,electronic products,electronic products,1.5
1310,2003-Q4,manufacturing,medical and precision instruments,medical and precision instruments,-1.1
1311,2003-Q4,manufacturing,transport equipment,transport equipment,0.3
1312,2003-Q4,manufacturing,other manufacturing industries,other manufacturing industries,-0.4
1313,2003-Q4,construction,construction,construction,-2
1314,2003-Q4,services,wholesale and retail trade,wholesale trade,1.5
1315,2003-Q4,services,wholesale and retail trade,retail trade,2.7
1316,2003-Q4,services,transport and storage,land transport and supporting services,-
1317,2003-Q4,services,transport and storage,water transport and supporting services,-0.1
1318,2003-Q4,services,transport and storage,air transport and supporting services,-
1319,2003-Q4,services,transport and storage,other transport and storage services,1.1
1320,2003-Q4,services,hotels and restaurants,hotels,2.4
1321,2003-Q4,services,hotels and restaurants,restaurants,2.7
1322,2003-Q4,services,information and communications,broadcasting and publishing,-1.2
1323,2003-Q4,services,information and communications,telecommunications,-0.1
1324,2003-Q4,services,information and communications,it and other information services,-0.6
1325,2003-Q4,services,financial services,financial institutions,0.6
1326,2003-Q4,services,financial services,insurance,0.3
1327,2003-Q4,services,real estate and leasing services,real estate and leasing services,0.3
1328,2003-Q4,services,professional services,"legal, accounting and management services",0.2
1329,2003-Q4,services,professional services,architectural and engineering services,-0.3
1330,2003-Q4,services,professional services,other professional services,0.2
1331,2003-Q4,services,"community, social and personal services",public administration and education,2.7
1332,2003-Q4,services,"community, social and personal services",education,-0.9
1333,2003-Q4,services,"community, social and personal services",public administration,3.6
1334,2003-Q4,services,"community, social and personal services",health and social services,0.1
1335,2003-Q4,services,"community, social and personal services","other community, social and personal services",-0.6
1336,2003-Q4,others,others,others,0.4
1337,2004-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.1
1338,2004-Q1,manufacturing,textile and wearing apparel,paper products and printing,-
1339,2004-Q1,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",0.3
1340,2004-Q1,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,0.1
1341,2004-Q1,manufacturing,fabricated metal products,fabricated metal products,0.2
1342,2004-Q1,manufacturing,machinery and equipment,machinery and equipment,1.8
1343,2004-Q1,manufacturing,electrical products,electrical products,-0.1
1344,2004-Q1,manufacturing,electronic products,electronic products,2.1
1345,2004-Q1,manufacturing,medical and precision instruments,medical and precision instruments,0.2
1346,2004-Q1,manufacturing,transport equipment,transport equipment,1.4
1347,2004-Q1,manufacturing,other manufacturing industries,other manufacturing industries,-0.1
1348,2004-Q1,construction,construction,construction,-3.6
1349,2004-Q1,services,wholesale and retail trade,wholesale trade,1.7
1350,2004-Q1,services,wholesale and retail trade,retail trade,0.7
1351,2004-Q1,services,transport and storage,land transport and supporting services,-
1352,2004-Q1,services,transport and storage,water transport and supporting services,-0.1
1353,2004-Q1,services,transport and storage,air transport and supporting services,0.3
1354,2004-Q1,services,transport and storage,other transport and storage services,0.5
1355,2004-Q1,services,hotels and restaurants,hotels,-1.1
1356,2004-Q1,services,hotels and restaurants,restaurants,0.5
1357,2004-Q1,services,information and communications,broadcasting and publishing,0.5
1358,2004-Q1,services,information and communications,telecommunications,0.1
1359,2004-Q1,services,information and communications,it and other information services,1.3
1360,2004-Q1,services,financial services,financial institutions,0.9
1361,2004-Q1,services,financial services,insurance,0.3
1362,2004-Q1,services,real estate and leasing services,real estate and leasing services,-1.7
1363,2004-Q1,services,professional services,"legal, accounting and management services",0.6
1364,2004-Q1,services,professional services,architectural and engineering services,-0.1
1365,2004-Q1,services,professional services,other professional services,0.3
1366,2004-Q1,services,"community, social and personal services",public administration and education,0.8
1367,2004-Q1,services,"community, social and personal services",education,2.6
1368,2004-Q1,services,"community, social and personal services",public administration,-1.8
1369,2004-Q1,services,"community, social and personal services",health and social services,0.5
1370,2004-Q1,services,"community, social and personal services","other community, social and personal services",3.9
1371,2004-Q1,others,others,others,-0.3
1372,2004-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.2
1373,2004-Q2,manufacturing,textile and wearing apparel,paper products and printing,0.1
1374,2004-Q2,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",0.4
1375,2004-Q2,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,0.2
1376,2004-Q2,manufacturing,fabricated metal products,fabricated metal products,0.2
1377,2004-Q2,manufacturing,machinery and equipment,machinery and equipment,1.2
1378,2004-Q2,manufacturing,electrical products,electrical products,-0.1
1379,2004-Q2,manufacturing,electronic products,electronic products,1.4
1380,2004-Q2,manufacturing,medical and precision instruments,medical and precision instruments,0.9
1381,2004-Q2,manufacturing,transport equipment,transport equipment,1.8
1382,2004-Q2,manufacturing,other manufacturing industries,other manufacturing industries,0.1
1383,2004-Q2,construction,construction,construction,-2.7
1384,2004-Q2,services,wholesale and retail trade,wholesale trade,2.1
1385,2004-Q2,services,wholesale and retail trade,retail trade,-0.5
1386,2004-Q2,services,transport and storage,land transport and supporting services,0.2
1387,2004-Q2,services,transport and storage,water transport and supporting services,-0.5
1388,2004-Q2,services,transport and storage,air transport and supporting services,-0.3
1389,2004-Q2,services,transport and storage,other transport and storage services,0.4
1390,2004-Q2,services,hotels and restaurants,hotels,-0.5
1391,2004-Q2,services,hotels and restaurants,restaurants,0.9
1392,2004-Q2,services,information and communications,broadcasting and publishing,-
1393,2004-Q2,services,information and communications,telecommunications,-
1394,2004-Q2,services,information and communications,it and other information services,0.6
1395,2004-Q2,services,financial services,financial institutions,1.6
1396,2004-Q2,services,financial services,insurance,0.2
1397,2004-Q2,services,real estate and leasing services,real estate and leasing services,-1
1398,2004-Q2,services,professional services,"legal, accounting and management services",0.1
1399,2004-Q2,services,professional services,architectural and engineering services,0.2
1400,2004-Q2,services,professional services,other professional services,0.3
1401,2004-Q2,services,"community, social and personal services",public administration and education,-0.7
1402,2004-Q2,services,"community, social and personal services",education,-0.2
1403,2004-Q2,services,"community, social and personal services",public administration,-0.5
1404,2004-Q2,services,"community, social and personal services",health and social services,0.4
1405,2004-Q2,services,"community, social and personal services","other community, social and personal services",0.4
1406,2004-Q2,others,others,others,-0.9
1407,2004-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.2
1408,2004-Q3,manufacturing,textile and wearing apparel,paper products and printing,0.3
1409,2004-Q3,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",0.1
1410,2004-Q3,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,-
1411,2004-Q3,manufacturing,fabricated metal products,fabricated metal products,0.4
1412,2004-Q3,manufacturing,machinery and equipment,machinery and equipment,1
1413,2004-Q3,manufacturing,electrical products,electrical products,-
1414,2004-Q3,manufacturing,electronic products,electronic products,3
1415,2004-Q3,manufacturing,medical and precision instruments,medical and precision instruments,-0.1
1416,2004-Q3,manufacturing,transport equipment,transport equipment,3.4
1417,2004-Q3,manufacturing,other manufacturing industries,other manufacturing industries,0.3
1418,2004-Q3,construction,construction,construction,-1.7
1419,2004-Q3,services,wholesale and retail trade,wholesale trade,1.1
1420,2004-Q3,services,wholesale and retail trade,retail trade,-0.9
1421,2004-Q3,services,transport and storage,land transport and supporting services,0.3
1422,2004-Q3,services,transport and storage,water transport and supporting services,0.5
1423,2004-Q3,services,transport and storage,air transport and supporting services,-
1424,2004-Q3,services,transport and storage,other transport and storage services,0.2
1425,2004-Q3,services,hotels and restaurants,hotels,-0.5
1426,2004-Q3,services,hotels and restaurants,restaurants,0.2
1427,2004-Q3,services,information and communications,broadcasting and publishing,0.2
1428,2004-Q3,services,information and communications,telecommunications,-0.2
1429,2004-Q3,services,information and communications,it and other information services,0.1
1430,2004-Q3,services,financial services,financial institutions,0.8
1431,2004-Q3,services,financial services,insurance,0.3
1432,2004-Q3,services,real estate and leasing services,real estate and leasing services,0.9
1433,2004-Q3,services,professional services,"legal, accounting and management services",1.2
1434,2004-Q3,services,professional services,architectural and engineering services,-0.5
1435,2004-Q3,services,professional services,other professional services,0.2
1436,2004-Q3,services,"community, social and personal services",public administration and education,-0.9
