Timestamp,1. Have you ever been to Universal Studios?,2. How frequently do you visit a theme park?,3. What is your age?,4. What is your gender?,5. What is your monthly income?,"6. What is your nationality? If you select ""Other"", please specify.",7. Who do you usually go to theme parks with? (Select all that apply),8. What types of rides do you prefer?,9. What time of the day are you usually in the theme park? (Select all that apply),10. When are you most likely to visit a theme park? (Select all that apply),"11. Why do you visit a theme park? If you select ""Other"", please specify. (Select all that apply)","12. What types of theme park marketing content have you seen recently? If you select ""Other"", please specify. (Select all that apply)","13. What types of marketing content do you find most appealing from theme parks? If you select ""Other"", please specify. (Select all that apply)",14. Getting tickets was easy for me,"15. Fees were fairly priced (F&B, admission tickets)",16. I spent less time queueing than expected,17. Getting an express / fast pass is worth it,18. The park was clean and well maintained,"19. There were adequate facilities provided (toilets, shelters, cooling or heating, etc.)",20. I was able to navigate through the theme park easily,21. The rides and attractions were enjoyable,22. The rides and attractions help reinforce the park’s theme and atmosphere,23. The rides and attractions are relevant today,24. The park was adequately staffed,25. Staff were friendly and helpful,26. I am likely to come back to this theme park again,27. How concerned are you of these possible situations at a theme park during your visit? (Rate each factor on a scale of 1-5) [Ride Malfunction],27. How concerned are you of these possible situations at a theme park during your visit? (Rate each factor on a scale of 1-5) [Violent behaviour from others],27. How concerned are you of these possible situations at a theme park during your visit? (Rate each factor on a scale of 1-5) [Crowd crush],27. How concerned are you of these possible situations at a theme park during your visit? (Rate each factor on a scale of 1-5) [Theft & Pickpocketing],27. How concerned are you of these possible situations at a theme park during your visit? (Rate each factor on a scale of 1-5) [Getting lost or separated from friends and family],27. How concerned are you of these possible situations at a theme park during your visit? (Rate each factor on a scale of 1-5) [Lack of immediate medical attention],27. How concerned are you of these possible situations at a theme park during your visit? (Rate each factor on a scale of 1-5) [Sudden weather changes],27. How concerned are you of these possible situations at a theme park during your visit? (Rate each factor on a scale of 1-5) [Food contamination],"28. What dissuades you from wanting to visit a theme park? If you select ""Other"", please specify",29. How do you typically decide which attractions to visit at a theme park?,"30. What do you spend the most money on in a theme park (excluding the admission ticket)? If you select ""Other"", please specify",31. (Optional - only if you have recently been to USS) Which areas did you visit and in what order? (Select only the areas which you have visited) [Hollywood],31. (Optional - only if you have recently been to USS) Which areas did you visit and in what order? (Select only the areas which you have visited) [Minion Land],31. (Optional - only if you have recently been to USS) Which areas did you visit and in what order? (Select only the areas which you have visited) [Far Far Away],31. (Optional - only if you have recently been to USS) Which areas did you visit and in what order? (Select only the areas which you have visited) [The Lost World],31. (Optional - only if you have recently been to USS) Which areas did you visit and in what order? (Select only the areas which you have visited) [Ancient Egypt],31. (Optional - only if you have recently been to USS) Which areas did you visit and in what order? (Select only the areas which you have visited) [Sci-fi City],31. (Optional - only if you have recently been to USS) Which areas did you visit and in what order? (Select only the areas which you have visited) [New York]
17/02/2025 09:51:12,Yes,< Once every 3 years,19-25 years old,Male,No income,Singaporean/PR,Family,Medium-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm)","School Holidays, For special events (eg. Halloween, Christmas etc.)",Because of a special promotion or discount,"Social media ads, YouTube videos or influencer content (can be overseas theme parks as well)","Discounts, special offers, or bundles",4,3,3,4,6,6,6,6,6,6,6,5,5,3,1 - Not a concern at all,2,1 - Not a concern at all,2,2,5 - Very concerned,3,"Costs (F&B, admission tickets, etc.), Long wait time","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
17/02/2025 09:52:12,Yes,< Once every 3 years,19-25 years old,Male,No income,Singaporean/PR,Friends,High-intensity rides,Afternoon (12pm-5pm),"Saturdays, Sundays",To spend time with family/friends,Social media ads,New attractions or event announcements,7,4,1,4,7,7,7,7,6,7,7,7,5,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions, Boring","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
17/02/2025 10:04:40,Yes,Once every 2-3 years,19-25 years old,Male,No income,Singaporean/PR,Friends,High-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm)","Public Holidays, School Holidays, For special events (eg. Halloween, Christmas etc.)","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, To spend time with family/friends, For a relaxing getaway or vacation, As part of a larger travel plan (e.g., trip to the area)","Social media ads, YouTube videos or influencer content (can be overseas theme parks as well)","Discounts, special offers, or bundles, New attractions or event announcements",7,6,3,4,6,6,6,6,6,6,6,6,6,2,1 - Not a concern at all,2,2,2,2,3,2,"Crowd, Long wait time","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
17/02/2025 10:12:34,Yes,< Once every 3 years,19-25 years old,Male,No income,Singaporean/PR,"Friends, Family",High-intensity rides,Afternoon (12pm-5pm),Weekdays (Mondays to Thursdays),"To spend time with family/friends, For a relaxing getaway or vacation, As part of a larger travel plan (e.g., trip to the area)","Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles",7,6,2,7,7,5,6,6,7,7,7,7,6,2,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,4,1 - Not a concern at all,"Crowd, Long wait time","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
17/02/2025 10:48:55,Yes,< Once every 3 years,15-18 years old,Female,No income,Singaporean/PR,Friends,High-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)",School Holidays,To spend time with family/friends,Social media ads,"Discounts, special offers, or bundles",4,2,4,2,4,4,4,5,4,4,4,4,4,3,3,4,4,4,3,5 - Very concerned,3,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions, Boring",I decide based on which rides are closest to me at the moment.,F&B,,,,,,,
17/02/2025 10:52:03,Yes,Once every 2-3 years,19-25 years old,Male,Below $2000,Singaporean/PR,"Friends, Family",High-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm)","Weekdays (Mondays to Thursdays), Fridays, Public Holidays, School Holidays","Because of a special promotion or discount, To spend time with family/friends, As part of a larger travel plan (e.g., trip to the area)","Social media ads, Email newsletter or promotional offers, Theme park websites or blogs, Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles, New attractions or event announcements",6,4,2,3,6,6,6,6,6,7,6,5,6,3,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,2,3,4,3,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",Merchandise,,,,,,,
17/02/2025 10:55:03,Yes,Once every 2-3 years,19-25 years old,Male,"$2,000 - $5,999",Singaporean/PR,"Friends, Family",High-intensity rides,Afternoon (12pm-5pm),"Fridays, Saturdays, Sundays, Public Holidays","To experience a specific attraction or ride, To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, To spend time with family/friends","Social media ads, TV commercials, Online banner ads, Theme park websites or blogs","Discounts, special offers, or bundles, New attractions or event announcements",7,5,3,7,6,6,6,6,6,6,7,7,7,1 - Not a concern at all,1 - Not a concern at all,2,2,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,Long wait time,I follow a planned route with specific rides in mind.,F&B,,,,,,,
17/02/2025 11:27:42,Yes,Once every year,46-54 years old,Female,"$6,000 - $9,999",Singaporean/PR,"Friends, Family",Low-intensity rides,Morning (10am-12pm),Saturdays,"To spend time with family/friends, For a relaxing getaway or vacation","Theme park websites or blogs, Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles, Interactive experiences (e.g., virtual tours, social media contests)",6,5,4,4,5,5,5,6,5,5,5,5,6,2,2,2,2,2,2,2,2,"Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
17/02/2025 11:51:14,Yes,Once every year,36-45 years old,Male,"$2,000 - $5,999",Thai,"Couple (I go with my partner), Friends, Family",Medium-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm)","Weekdays (Mondays to Thursdays), Saturdays","To spend time with family/friends, For a relaxing getaway or vacation",Theme park websites or blogs,"Discounts, special offers, or bundles, New attractions or event announcements",7,5,1,1,7,6,6,7,7,5,7,7,7,4,4,4,4,4,4,4,3,"Crowd, Long wait time",I decide based on which rides are closest to me at the moment.,F&B,,,,,,,
17/02/2025 12:03:26,Yes,Once every 2-3 years,19-25 years old,Male,No income,Singaporean/PR,"Couple (I go with my partner), Friends, Family",High-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm)","Weekdays (Mondays to Thursdays), Public Holidays, For special events (eg. Halloween, Christmas etc.)","To experience a specific attraction or ride, To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, To spend time with family/friends, For a relaxing getaway or vacation, As part of a larger travel plan (e.g., trip to the area)","Social media ads, Email newsletter or promotional offers, Online banner ads","Discounts, special offers, or bundles, New attractions or event announcements, Behind-the-scenes content or exclusive previews",5,1,4,4,7,7,7,7,7,7,7,7,7,1 - Not a concern at all,1 - Not a concern at all,4,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,5 - Very concerned,1 - Not a concern at all,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",Merchandise,,,,,,,
17/02/2025 12:15:58,Yes,< Once every 3 years,36-45 years old,Female,"$2,000 - $5,999",Singaporean/PR,Family,Low-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm)",School Holidays,"Because of a special promotion or discount, To spend time with family/friends",Social media ads,"Discounts, special offers, or bundles, User-generated content (e.g., visitor testimonials, influencer partnerships)",7,5,5,4,7,5,7,6,6,6,6,7,4,2,1 - Not a concern at all,2,2,1 - Not a concern at all,2,1 - Not a concern at all,1 - Not a concern at all,"Costs (F&B, admission tickets, etc.)",I decide based on which rides are closest to me at the moment.,Merchandise,,,,,,,
17/02/2025 12:26:02,Yes,When on vacation,36-45 years old,Female,"$6,000 - $9,999",Filipino,"Single (I go alone), Friends, Family",High-intensity rides,Morning (10am-12pm),"Weekdays (Mondays to Thursdays), For special events (eg. Halloween, Christmas etc.)","Because of a special promotion or discount, To spend time with family/friends",Theme park websites or blogs,"Discounts, special offers, or bundles",4,7,1,4,7,5,5,7,7,7,7,7,5,5 - Very concerned,5 - Very concerned,5 - Very concerned,5 - Very concerned,5 - Very concerned,5 - Very concerned,5 - Very concerned,5 - Very concerned,"Crowd, Long wait time","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
17/02/2025 12:28:14,Yes,< Once every 3 years,19-25 years old,Male,"$2,000 - $5,999",Singaporean/PR,Friends,Medium-intensity rides,Afternoon (12pm-5pm),"Saturdays, Sundays, Public Holidays","To spend time with family/friends, As part of a larger travel plan (e.g., trip to the area)","Social media ads, YouTube videos or influencer content (can be overseas theme parks as well)","Discounts, special offers, or bundles, New attractions or event announcements, Interactive experiences (e.g., virtual tours, social media contests)",5,3,3,4,4,4,5,5,5,5,5,5,5,3,2,3,3,3,3,5 - Very concerned,3,"Crowd, Long wait time","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
17/02/2025 12:42:56,Yes,< Once every 3 years,19-25 years old,Male,No income,Singaporean/PR,"Friends, Family",High-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)","Weekdays (Mondays to Thursdays), Fridays, Saturdays, Sundays","To experience a specific attraction or ride, To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount",Social media ads,"Discounts, special offers, or bundles, New attractions or event announcements",7,2,5,4,7,6,6,6,6,6,7,7,5,2,1 - Not a concern at all,2,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,4,2,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time",I follow a planned route with specific rides in mind.,F&B,,,,,,,
17/02/2025 13:03:05,Yes,Once every 2-3 years,46-54 years old,Female,"$2,000 - $5,999",Singaporean/PR,"Friends, Family",High-intensity rides,Morning (10am-12pm),"Fridays, Saturdays, Sundays, Public Holidays","To experience a specific attraction or ride, Because of a special promotion or discount, To spend time with family/friends, To visit a newly opened or recently renovated park/area","Social media ads, TV commercials, Online banner ads","Discounts, special offers, or bundles",4,2,6,2,4,4,4,4,5,4,4,4,4,3,3,3,3,3,3,3,3,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.","Transportation (e.g. Parking, taxi fares etc.)",,,,,,,
17/02/2025 13:21:38,Yes,Once every 2-3 years,19-25 years old,Female,No income,Singaporean/PR,"Couple (I go with my partner), Friends, Family",High-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)","Weekdays (Mondays to Thursdays), For special events (eg. Halloween, Christmas etc.)","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, To spend time with family/friends, For a relaxing getaway or vacation, As part of a larger travel plan (e.g., trip to the area)","Social media ads, YouTube videos or influencer content (can be overseas theme parks as well)","Discounts, special offers, or bundles",6,5,5,2,6,6,7,6,6,5,6,6,4,5 - Very concerned,4,4,4,2,3,3,3,"Costs (F&B, admission tickets, etc.), Long wait time, Boring","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
17/02/2025 13:55:37,Yes,Once every 2-3 years,19-25 years old,Male,No income,Singaporean/PR,Couple (I go with my partner),High-intensity rides,"Afternoon (12pm-5pm), Evening (5pm-7pm)","For special events (eg. Halloween, Christmas etc.), Evenings/Night visits (After 6pm)","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), To spend time with family/friends",This survey,"Discounts, special offers, or bundles, New attractions or event announcements",7,3,1,4,6,5,5,5,5,5,7,7,7,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,2,2,1 - Not a concern at all,2,1 - Not a concern at all,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Boring","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
17/02/2025 14:20:34,Yes,Once every 2-3 years,19-25 years old,Male,No income,Singaporean/PR,"Couple (I go with my partner), Friends",High-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)",Weekdays (Mondays to Thursdays),"To spend time with family/friends, For a relaxing getaway or vacation, As part of a larger travel plan (e.g., trip to the area)",Social media ads,"Discounts, special offers, or bundles",7,3,1,5,7,4,4,5,5,3,6,7,5,5 - Very concerned,5 - Very concerned,5 - Very concerned,5 - Very concerned,1 - Not a concern at all,4,5 - Very concerned,5 - Very concerned,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions",I follow a planned route with specific rides in mind.,F&B,,,,,,,
17/02/2025 17:02:23,Yes,Once every year,19-25 years old,Male,No income,Singaporean/PR,"Couple (I go with my partner), Friends",High-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)","Weekdays (Mondays to Thursdays), Fridays, Saturdays, Sundays, Public Holidays, School Holidays, For special events (eg. Halloween, Christmas etc.)","To experience a specific attraction or ride, To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, To spend time with family/friends, For a relaxing getaway or vacation, As part of a larger travel plan (e.g., trip to the area), Because of a social media post or influencer recommendation","Social media ads, YouTube videos or influencer content (can be overseas theme parks as well)","Discounts, special offers, or bundles, New attractions or event announcements, Interactive experiences (e.g., virtual tours, social media contests)",7,5,4,4,6,5,6,6,6,6,6,6,6,3,2,2,2,2,3,4,2,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.","Transportation (e.g. Parking, taxi fares etc.)",,,,,,,
17/02/2025 17:16:25,Yes,< Once every 3 years,19-25 years old,Female,No income,Singaporean/PR,Friends,High-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)","Weekdays (Mondays to Thursdays), For special events (eg. Halloween, Christmas etc.)","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), To spend time with family/friends","Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","New attractions or event announcements, Behind-the-scenes content or exclusive previews",7,6,2,3,7,7,7,7,7,6,7,7,4,4,2,2,2,5 - Very concerned,2,4,1 - Not a concern at all,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time",I stick to the few rides/attractions that I enjoy the most.,F&B,,,,,,,
17/02/2025 18:07:35,Yes,Once every 2-3 years,19-25 years old,Male,No income,malaysia,Friends,High-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)",Weekdays (Mondays to Thursdays),"To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, As part of a larger travel plan (e.g., trip to the area)","Social media ads, Billboard or outdoor ads, Theme park websites or blogs","Discounts, special offers, or bundles, New attractions or event announcements",6,4,2,4,5,5,5,5,5,4,5,5,5,2,1 - Not a concern at all,1 - Not a concern at all,3,3,2,5 - Very concerned,4,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions",I follow a planned route with specific rides in mind.,F&B,,,,,,,
17/02/2025 19:00:03,Yes,Once every year,19-25 years old,Male,Below $2000,Singaporean/PR,Friends,High-intensity rides,Evening (5pm-7pm),Fridays,"To spend time with family/friends, To visit a newly opened or recently renovated park/area, Because of a social media post or influencer recommendation",Social media ads,"User-generated content (e.g., visitor testimonials, influencer partnerships)",4,1,1,3,5,2,5,5,4,5,5,5,5,2,1 - Not a concern at all,2,3,3,3,5 - Very concerned,2,"Crowd, Costs (F&B, admission tickets, etc.)","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
17/02/2025 20:58:08,Yes,< Once every 3 years,19-25 years old,Male,No income,Singaporean/PR,Family,High-intensity rides,Afternoon (12pm-5pm),Weekdays (Mondays to Thursdays),To spend time with family/friends,"Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles",7,2,1,7,7,7,7,6,4,5,6,6,1,4,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,4,2,I'm too old,"A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
17/02/2025 21:41:41,Yes,< Once every 3 years,19-25 years old,Female,No income,Singaporean/PR,"Friends, Family",Medium-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm)",Weekdays (Mondays to Thursdays),"To experience a specific attraction or ride, Because of a special promotion or discount, As part of a larger travel plan (e.g., trip to the area)","YouTube videos or influencer content (can be overseas theme parks as well), Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles, New attractions or event announcements",7,4,4,1,7,4,4,5,7,7,7,7,4,4,1 - Not a concern at all,2,1 - Not a concern at all,1 - Not a concern at all,3,5 - Very concerned,1 - Not a concern at all,Price,I decide based on which rides are closest to me at the moment.,Ticket,,,,,,,
17/02/2025 22:35:20,Yes,< Once every 3 years,55 and above,Female,Below $2000,Singaporean/PR,Family,I do not go on any rides,Morning (10am-12pm),Weekdays (Mondays to Thursdays),Because of a social media post or influencer recommendation,YouTube videos or influencer content (can be overseas theme parks as well),"Discounts, special offers, or bundles",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions",I decide based on which rides are closest to me at the moment.,F&B,,,,,,,
18/02/2025 06:46:06,Yes,When on vacation,19-25 years old,Male,No income,Singaporean/PR,"Couple (I go with my partner), Friends, Family",High-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm)","Fridays, Saturdays, Sundays, Public Holidays, For special events (eg. Halloween, Christmas etc.)","To experience a specific attraction or ride, To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises)","Social media ads, TV commercials, YouTube videos or influencer content (can be overseas theme parks as well)","Discounts, special offers, or bundles, New attractions or event announcements",5,2,3,6,6,6,6,6,7,7,7,7,5,5 - Very concerned,2,2,2,5 - Very concerned,4,4,2,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time","A mix of both of the above —some planned rides, but I also go with what’s nearby.","Transportation (e.g. Parking, taxi fares etc.)",,,,,,,
18/02/2025 08:54:56,Yes,Once every year,19-25 years old,Male,No income,Singaporean/PR,"Friends, Family",High-intensity rides,Afternoon (12pm-5pm),"Public Holidays, School Holidays, For special events (eg. Halloween, Christmas etc.)","To experience a specific attraction or ride, To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), To spend time with family/friends","TV commercials, YouTube videos or influencer content (can be overseas theme parks as well)","Discounts, special offers, or bundles, Interactive experiences (e.g., virtual tours, social media contests)",4,5,3,5,6,6,6,6,6,6,5,6,6,5 - Very concerned,5 - Very concerned,4,2,1 - Not a concern at all,2,3,4,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
18/02/2025 09:43:16,Yes,< Once every 3 years,19-25 years old,Male,Below $2000,Singaporean/PR,"Friends, Family",Medium-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)","Weekdays (Mondays to Thursdays), School Holidays",To spend time with family/friends,Social media ads,New attractions or event announcements,7,5,6,7,7,7,7,6,7,7,5,6,4,5 - Very concerned,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,5 - Very concerned,1 - Not a concern at all,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
18/02/2025 10:24:13,Yes,Once every year,19-25 years old,Male,No income,Singaporean/PR,"Couple (I go with my partner), Friends, Family",High-intensity rides,Afternoon (12pm-5pm),"Weekdays (Mondays to Thursdays), Fridays, Saturdays, Sundays, For special events (eg. Halloween, Christmas etc.)","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), To spend time with family/friends, For a relaxing getaway or vacation, As part of a larger travel plan (e.g., trip to the area), To visit a newly opened or recently renovated park/area","YouTube videos or influencer content (can be overseas theme parks as well), Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles, New attractions or event announcements, Behind-the-scenes content or exclusive previews",7,1,2,4,6,7,7,6,6,4,6,7,7,3,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,3,1 - Not a concern at all,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Boring","A mix of both of the above —some planned rides, but I also go with what’s nearby.",Merchandise,,,,,,,
18/02/2025 13:30:21,Yes,< Once every 3 years,26-35 years old,Male,No income,Singaporean/PR,Friends,High-intensity rides,Morning (10am-12pm),"Saturdays, Sundays","As part of a larger travel plan (e.g., trip to the area), To visit a newly opened or recently renovated park/area","Social media ads, Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles",6,1,1,1,5,5,5,1,1,1,4,6,1,1 - Not a concern at all,1 - Not a concern at all,4,1 - Not a concern at all,2,3,5 - Very concerned,1 - Not a concern at all,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time",I decide based on which rides are closest to me at the moment.,My time queuing up,,,,,,,
18/02/2025 17:54:26,Yes,When on vacation,55 and above,Others,"$2,000 - $5,999",Singaporean/PR,Family,High-intensity rides,Morning (10am-12pm),Weekdays (Mondays to Thursdays),To experience a specific attraction or ride,"Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles, New attractions or event announcements",1,1,1,1,4,4,4,1,2,1,2,4,2,4,4,4,4,4,4,4,4,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions, Boring, Expensive ticket","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
18/02/2025 17:58:32,Yes,Once every year,19-25 years old,Male,Below $2000,Singaporean/PR,"Couple (I go with my partner), Friends, Family",Medium-intensity rides,"Afternoon (12pm-5pm), Evening (5pm-7pm)","Fridays, Saturdays, Sundays, Public Holidays, School Holidays, For special events (eg. Halloween, Christmas etc.), Evenings/Night visits (After 6pm)","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, To spend time with family/friends, For a relaxing getaway or vacation",Social media ads,"Discounts, special offers, or bundles, New attractions or event announcements",7,4,3,6,7,5,5,6,7,6,5,5,5,5 - Very concerned,5 - Very concerned,4,5 - Very concerned,4,3,2,2,"Costs (F&B, admission tickets, etc.), Long wait time, Boring","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
18/02/2025 18:10:57,Yes,< Once every 3 years,19-25 years old,Male,No income,Singaporean/PR,Friends,High-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)","Weekdays (Mondays to Thursdays), For special events (eg. Halloween, Christmas etc.)","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, To spend time with family/friends","Social media ads, YouTube videos or influencer content (can be overseas theme parks as well), Email newsletter or promotional offers, Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles",5,2,2,5,6,7,6,6,6,7,6,6,6,2,1 - Not a concern at all,1 - Not a concern at all,2,1 - Not a concern at all,1 - Not a concern at all,4,1 - Not a concern at all,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
19/02/2025 07:39:10,Yes,Once every year,19-25 years old,Male,"$2,000 - $5,999",Singaporean/PR,Couple (I go with my partner),Medium-intensity rides,Morning (10am-12pm),Weekdays (Mondays to Thursdays),To spend time with family/friends,"Social media ads, Online banner ads","Discounts, special offers, or bundles, New attractions or event announcements",5,3,2,6,6,5,5,6,5,5,6,6,6,2,2,2,2,2,2,3,2,"Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
